Notebook Dell Inspiron 15 3000 Intel Pentium Gold - 4GB 128GB SSD 15,6” Full HD Windows 11 ; R$ 2.474,10 ;  Data: 14/10/2022 
Notebook Lenovo Ideapad 3i AMD Ryzen 5 8GB - 256GB SSD 15.6” Full HD Linux 82MFS00100 ; R$ 2.699,10 ;  Data: 14/10/2022 
Notebook Positivo Motion Intel Atom - 4GB 128GB eMMC 14,1” LED Windows 10 ; R$ 1.439,10 ;  Data: 14/10/2022 
Notebook Vaio FE15 Intel Core i5 8GB 512GB - SSD 15,6” Full HD Windows 11 ; R$ 3.194,10 ;  Data: 14/10/2022 
Notebook Compaq Presario 427 Intel Pentium N3700 - 4GB 240GB SSD 14,1” Linux ; R$ 1.394,10 ;  Data: 14/10/2022 
Notebook Lenovo Ideapad 3i Intel Core i3 4GB - 256GB SSD 15,6” Full HD Windows 11 82MD000ABR ; R$ 2.294,10 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 Intel Core i5 8GB 15,6” - 256GB SSD Full HD Placa de Vídeo 2GB Windows 11 ; R$ 3.419,10 ;  Data: 14/10/2022 
Notebook Vaio FE15 Intel Core i3 4GB 256GB SSD - 15,6” Full HD Windows 11 ; R$ 2.429,10 ;  Data: 14/10/2022 
Notebook Dell Inspiron 15 3000 Intel Core i3 - 8GB 256GB SSD 15,6” Full HD Windows 11 ; R$ 2.879,10 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 Intel Core i5 8GB 256GB SSD - 15,6” Full HD Windows 11 Home ; R$ 2.969,10 ;  Data: 14/10/2022 
Notebook Ultra Intel Celeron 4GB 120GB SSD 14” - Full HD Windows 11 Microsoft 365 1TB Nuvem UB235 ; R$ 1.349,10 ;  Data: 14/10/2022 
Notebook Ultra Intel Celeron 4GB 120GB SSD - 14,1” HD Windows 11 UB230 ; R$ 1.394,10 ;  Data: 14/10/2022 
Notebook HP Intel Core i3 8GB 256GB SSD 15,6” - HD Windows 11 256 G8 ; R$ 2.609,10 ;  Data: 14/10/2022 
Notebook Lenovo Ideapad 3i Intel Celeron 4GB 128GB - SSD 15,6” Windows 11 + Office 365 82BU0008BR ; R$ 1.799,10 ;  Data: 14/10/2022 
Notebook 2 em 1 Positivo DUO Intel N4020 4GB - 64GB eMMC Touch Screen 11,6” Full HD Windows 11 ; R$ 1.484,10 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 Intel Core i3 8GB 512GB - LED 14” Full HD IPS Windows 11 A514-54-30JG ; R$ 2.789,10 ;  Data: 14/10/2022 
Notebook Positivo Motion C Intel Celeron Dual-Core - 4GB 120GB SSD 14” LED Windows 11 ; R$ 1.599,00 ;  Data: 14/10/2022 
Notebook Gamer Acer Nitro 5 Intel Core i5 8GB - 1TB HD 256GB SSD Nvidia GTX 1650 4GB Windows 11 ; R$ 4.409,10 ;  Data: 14/10/2022 
Notebook Dell Inspiron 15 3000 Series 3501 - Intel Pentium 4GB 128GB SSD 15,6” Windows 11 ; R$ 2.609,10 ;  Data: 14/10/2022 
Notebook Samsung Book Intel Core i5 8GB 256GB SSD - 15,6” Full HD Windows 11 ; R$ 3.059,10 ;  Data: 14/10/2022 
Notebook Samsung Book Intel Core i5 8GB 256GB SSD - Full HD + Pacote Office 365 Personal 1 Ano Digital ; R$ 3.184,20 ;  Data: 14/10/2022 
Notebook Acer Aspire 3 Intel Core i3 8GB 256GB SSD - 15,6” Windows 11 A315-56-39UP ; R$ 2.609,10 ;  Data: 14/10/2022 
Notebook Lenovo IdeaPad 3i Intel Core i5 8GB - 256GB SSD 15,6” Full HD Windows 11 82MD0007BR ; R$ 3.014,10 ;  Data: 14/10/2022 
Notebook HP Intel Core i5 8GB 256GB 15,6” - HD Windows 11 256 G8 ; R$ 3.149,10 ;  Data: 14/10/2022 
Notebook Samsung Book Intel Celeron 4GB 500GB - 15,6” Full HD Windows 11 NP550XDA-KP1BR ; R$ 1.889,10 ;  Data: 14/10/2022 
Notebook Gamer Lenovo IdeaPad Gaming 3i Intel Core - i5 8GB 512GB SSD 15,5” Full HD NVIDIA GTX 1650 ; R$ 4.229,10 ;  Data: 14/10/2022 
Notebook Asus Intel Celeron 4GB 128 GB SSD - 15,6” Windows 11 ; R$ 1.979,10 ;  Data: 14/10/2022 
Notebook Asus Intel Core i5 8GB 256GB SSD 15,6” - Full HD Windows 11 X515JA-EJ1792W ; R$ 3.149,10 ;  Data: 14/10/2022 
Notebook Samsung Book Intel Celeron 4GB 256GB SSD - 15,6” Full HD Windows 11 NP550XDA-KP3BR ; R$ 1.889,10 ;  Data: 14/10/2022 
Notebook Intel Atom 2GB RAM 64GB Multilaser Legacy Cloud PC134 Windows 10 Home Cinza ; R$ 1.104,15 ;  Data: 14/10/2022 
Notebook Samsung Book Intel Core i7 8GB 256GB SSD - 15,6” Full HD Windows 11 NP550XDA-KU1BR ; R$ 3.599,10 ;  Data: 14/10/2022 
Notebook Gamer Lenovo IdeaPad Gaming 3i Intel Core i5-10300H, GeForce GTX 1650, 8GB RAM, SSD 256GB, Tela 15.6 FHD, Linux, Azul - 82CGS00100 ; R$ 3.899,99 ;  Data: 14/10/2022 
Notebook Samsung Book Intel Core i3 4GB 256GB SSD - Full HD + Pacote Office 365 Personal 1 Ano Digital ; R$ 2.419,20 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 Intel Core i7 8GB 512GB - 15,6” Full HD Linux A515-54-76NA ; R$ 4.229,10 ;  Data: 14/10/2022 
Notebook Lenovo Ideapad 3 Intel Celeron 4GB - 128GB SSD 15,6” Windows 11 82BU0006BR ; R$ 1.754,10 ;  Data: 14/10/2022 
Notebook HP Intel Core i3 8GB 256GB SSD 15,6” - HD Windows 11 256 G8 ; R$ 2.609,10 ;  Data: 14/10/2022 
Notebook Compaq Presario Intel Core i5 8GB - 240GB SSD 14,1” HD Linux 454 ; R$ 2.339,10 ;  Data: 14/10/2022 
