Placa de Vídeo Asus NVIDIA GeForce GTX 1650, 4GB, GDDR6 - TUF-GTX1650-O4GD6-P-GAMING ; R$ 1.299,99 ;  Data: 17/10/2022 
Placa de Vídeo MSI NVIDIA GeForce RTX 2060 Ventus GP OC, 6GB GDDR6, Ray Tracing - GeForce RTX 2060 VENTUS GP OC ; R$ 2.599,99 ;  Data: 17/10/2022 
Placa de Vídeo MSI NVIDIA GeForce RTX 3070 Gaming Z Trio 8G, 8GB GDDR6, LHR, RGB, DLSS, Ray Tracing - GeForce RTX 3070 GAMING Z TRIO 8G LHR ; R$ 3.799,99 ;  Data: 17/10/2022 
Placa de Vídeo Galax NVIDIA GeForce RTX 3060 1-Click OC 12GB GDDR6 LHR 192 Bits HDMI/DP 36NOL7MD1VOC ; R$ 2.649,90 ;  Data: 17/10/2022 
Placa de Vídeo Galax NVIDIA GeForce GT 210, 1GB DDR3, 64 Bits - 21GGF4HI00NP ; R$ 189,99 ;  Data: 17/10/2022 
Placa de Vídeo Galax GeForce RTX 3060 (1-Click OC) LHR, 12GB GDDR6, 15 Gbps, Ray Tracing, DLSS - 36NOL7MD1VOC ; R$ 2.729,99 ;  Data: 17/10/2022 
Placa de Vídeo Duex AMD Radeon RX 550, 4GB, DDR5 - DXRX5504GB ; R$ 679,99 ;  Data: 17/10/2022 
Placa de Video Mancer Radeon RX 550, 4GB, GDDR5, 128-bit, MCR-RX5504GD5-V4 ; R$ 734,31 ;  Data: 17/10/2022 
Placa de Vídeo Galax NVIDIA GeForce RTX 2060 Plus 1-Click OC, 12GB GDDR6, Ray Tracing - 26NRL7HP68NC ; R$ 2.299,99 ;  Data: 17/10/2022 
Placa de Vídeo Duex NVIDIA GeForce GTX 750 TI, 4GB, DDR5 - DXGTX750TI4GD5 ; R$ 759,99 ;  Data: 17/10/2022 
Placa de Video Colorful GeForce GT 1030 4GB 64bit ; R$ 678,03 ;  Data: 17/10/2022 
Placa de Vídeo Duex NVIDIA GeForce GTX 750 TI, 2GB GDDR5, Full Size - DXGTX750TI2GD5 ; R$ 699,99 ;  Data: 17/10/2022 
Placa de Vídeo Galax NVIDIA GeForce RTX 3060 TI 1-Click OC 8GB GDDR6 LHR 256 Bits HDMI/DP 36ISL6MD1VQW ; R$ 3.099,90 ;  Data: 17/10/2022 
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3060 Ti Vision OC, 8GB GDDR6, RGB, LHR, DLSS, Ray Tracing - GV-N306TVISION OC-8GD ; R$ 3.299,99 ;  Data: 17/10/2022 
Placa de Vídeo PCYes AMD Radeon RX 550, 4GB GDDR5, Graffiti Series - PJRX550DR5128B ; R$ 679,99 ;  Data: 17/10/2022 
Placa de Vídeo Afox Nvidia Geforce GT730 4GB DDR3 128 bits ; R$ 585,00 ;  Data: 17/10/2022 
Placa de Video Gainward GeForce GTX 1660 Super Pegasus 1785MHz ; R$ 1.399,00 ;  Data: 17/10/2022 
Placa de Vídeo EVGA NVIDIA GeForce GTX 1660 SC Ultra Gaming 6GB, GDDR5 - 06G-P4-1067-KR ; R$ 1.699,99 ;  Data: 17/10/2022 
Placa de Vídeo ASRock AMD Radeon RX 6800 XT, 16GB GDDR6 - RADEON RX6800XT PGD 16GO ; R$ 5.099,99 ;  Data: 17/10/2022 
