Smart TV 50” 4K D-LED Philips 50PUG7907/78 - 60Hz Android Wi-Fi Bluetooth HDR 4 HDMI 2 USB ; R$ 2.603,07 ;  Data: 30/10/2022 
Smart TV 65” 4K UHD OLED LG OLED65C1 - 120Hz Wi-Fi e Bluetooth Alexa 4 HDMI 3 USB ; R$ 13.019,07 ;  Data: 30/10/2022 
Smart TV HD LED 32” Samsung T4300 - Wi-Fi HDR 2 HDMI 1 USB ; R$ 1.246,20 ;  Data: 30/10/2022 
Smart TV 24 Polegadas HD Wi-fi Integrado Multilaser - TL040 ; R$ 890,01 ;  Data: 30/10/2022 
Smart TV 24” HD LED LG 24TL520S-PS VA - 62Hz HDR 2 HDMI 2 USB ; R$ 836,07 ;  Data: 30/10/2022 
Smart TV 32” HD LED LG 32LQ620 AI Processor - Wi-Fi Bluetooth Alexa Google Assistente 1 USB ; R$ 1.301,07 ;  Data: 30/10/2022 
Smart TV HD LED 32” AOC 32S5195/78G - Wi-Fi 3 HDMI 1 USB ; R$ 1.199,00 ;  Data: 30/10/2022 
Smart Tv Samsung Led 32 Wi-fi HDMI USB - LH32BETBLGGX - Substituta da LH32BENELGA ; R$ 1.359,15 ;  Data: 30/10/2022 
Smart TV Full HD LED 43” AOC 43S5195/78G - Wi-Fi 3 HDMI 1 USB ; R$ 1.662,84 ;  Data: 30/10/2022 
Smart TV 32” HD LED LG ThinQ AI Processor - Wi-Fi Bluetooth Alexa Google Assistente 2 HDMI ; R$ 1.301,07 ;  Data: 30/10/2022 
Smart TV HQ 43" Full HD, HDR, tela sem bordas, Android 11, Sistema Ultrasound, design Slim, Processador Quad Core, Espelhamento de tela, HQSTV43N ; R$ 1.499,00 ;  Data: 30/10/2022 
Smart TV LED 32" HD HQ Conversor Digital Externo 3 HDMI 2 USB WI-FI Android 11 Design Slim ; R$ 958,50 ;  Data: 30/10/2022 
Smart TV 40” Full HD LED TCL S615 VA 60Hz Android - Wi-Fi e Bluetooth HDR Google Assistente 2 HDMI ; R$ 1.580,07 ;  Data: 30/10/2022 
Smart TV 32” HD LED TCL S615 VA 60Hz - Android Wi-Fi e Bluetooth Google Assistente 2 HDMI ; R$ 1.208,07 ;  Data: 30/10/2022 
Monitor Smart TV LED 24" LG 24TL520S HD 2 HDMI 1 USB WiFi ; R$ 872,10 ;  Data: 30/10/2022 
Smart TV Monitor LG 24" LED 24TL520S 2 HDMI 1 USB, Wi-Fi Bivolt ; R$ 891,65 ;  Data: 30/10/2022 
Smart TV 43” Full HD LED TCL Roku TV 43RS520 - Wi-Fi Alexa Google e Siri 3 HDMI 1 USB ; R$ 1.761,42 ;  Data: 30/10/2022 
Smart TV LED 32" Samsung LH32BETBLGGXZD HD 2 HDMI USB Wifi ; R$ 1.197,90 ;  Data: 30/10/2022 
Smart TV AOC 32 Polegadas LED HD, 3 HDMI, 1 USB, Wi-Fi, Netflix e Youtube - 32S5195/78G ; R$ 1.179,99 ;  Data: 30/10/2022 
Smart TV 43” Full HD DLED Vizzion LE43DF20 - IPS Wi-Fi 2 HDMI 2 USB ; R$ 1.719,00 ;  Data: 30/10/2022 
Smart TV 43” Full HD LED TCL Android TV 43S615 - VA Wi-Fi Bluetooth HDR Google Assistente Built-in ; R$ 1.766,07 ;  Data: 30/10/2022 
Smart TV 65” 4K Crystal UHD Samsung UN65BU8000 - VA Wi-Fi Bluetooth Alexa Google Asistente 3 HDMI ; R$ 3.812,07 ;  Data: 30/10/2022 
Smart TV LED PRO 32'' HD LG 32LM 621 3 HDMI 2 USB Wi-fi Conversor Digital ; R$ 1.259,10 ;  Data: 30/10/2022 
Smart Tv Samsung 32 Polegadas LED Tizen WiFi HD ; R$ 1.228,00 ;  Data: 30/10/2022 
Smart TV LED 32" HD HQ Conversor Digital Externo 3 HDMI 2 USB WI-FI Android 11 Design Slim ; R$ 958,50 ;  Data: 30/10/2022 
Smart TV LED 32" Samsung LH32BETBLGGXZD ; R$ 1.199,00 ;  Data: 30/10/2022 
Smart TV 55” 4K Neo Qled Samsung VA 120Hz - Wi-Fi Bluetooth Alexa Google Assistente 4 HDMI ; R$ 4.184,07 ;  Data: 30/10/2022 
Smart TV Monitor LG 24" LED Wi-Fi webOS 3.5 DTV Time Machine Ready Bivolt 24TL520S ; R$ 910,94 ;  Data: 30/10/2022 
Smart TV LED 32" Design sem bordas, comando por voz, Google Assistant e Android TV com Bluetooth Konka KDG32 ; R$ 999,00 ;  Data: 30/10/2022 
Smart TV 50” 4K Crystal Samsung UN50BU8000 - VA Wi-Fi Bluetooth Alexa Google Assistente ; R$ 2.603,07 ;  Data: 30/10/2022 
Smart TV 50” 4K DLED Vizzion LE50UHD20 - IPS Wi-Fi 3 HDMI 2 USB ; R$ 1.952,07 ;  Data: 30/10/2022 
Smart TV 50” 4K UHD D-LED Semp RK8500 - VA Wi-Fi 4 HDMI 1 USB ; R$ 2.199,00 ;  Data: 30/10/2022 
Smart Tela DLED HD 39 Multilaser TL044, 2x HDMI USB Screen Share ; R$ 1.331,10 ;  Data: 30/10/2022 
Smart TV AOC 43 Polegadas LED Full HD, 3 HDMI, 1 USB, Wi-Fi - 43S5195/78G ; R$ 1.595,99 ;  Data: 30/10/2022 
Smart TV Philco 24 Polegadas LED, 1 HDMI, 1 USB, Conversor Digital, HDR - 99243047 ; R$ 849,00 ;  Data: 30/10/2022 
Smart TV LED 32" LG HD 32LQ621CB Wi-Fi Bluetooth HDR ThinQAI compatível com Smart Magic Google Alexa ; R$ 1.240,20 ;  Data: 30/10/2022 
Smart TV LED 32" Samsung UN32T4300AGXZD - Wi-Fi HDR 2 HDMI 1 USB ; R$ 1.199,00 ;  Data: 30/10/2022 
Smart TV Semp TCL 32 Polegadas LED HD, USB, HDMI, Wi-Fi, HDR, Google Assistant, Borda Fina, Android-CTS, Preto - 32S615 ; R$ 1.299,99 ;  Data: 30/10/2022 
